symbol,entry_time,entry_price,exit_time,exit_price,initial_stop,stop_updates_count,pnl,pnl_pct,exit_reason
GFEX.lc2605,2025-11-13 10:35:00.000000,88560.0,2025-11-14 09:55:00.000000,89360.0,86480.00,3,800.00,0.90%,移动止损 (前前绿柱堆间 K 线低点:89360.00)
GFEX.lc2605,2025-11-17 10:05:00.000000,92060.0,2025-11-18 13:45:00.000000,95920.0,87480.00,4,3860.00,4.19%,移动止损 (前前绿柱堆间 K 线低点:95920.00)
GFEX.lc2605,2025-11-26 09:00:00.000000,98280.0,2025-11-27 09:00:00.000000,96620.0,93260.00,3,-1660.00,-1.69%,移动止损 (前前绿柱堆间 K 线低点:96620.00)
GFEX.lc2605,2025-11-27 14:20:00.000000,97600.0,2025-11-27 14:50:00.000000,96220.0,96220.00,1,-1380.00,-1.41%,初始止损 (前前绿柱堆间 K 线低点:96220.00)
GFEX.lc2605,2025-12-10 11:20:00.000000,95740.0,2025-12-12 14:55:00.000000,98100.0,92360.00,4,2360.00,2.47%,初始止损 (前前绿柱堆间 K 线低点:92360.00)
GFEX.si2605,2025-09-25 14:15:00.000000,9480.0,2025-09-26 09:00:00.000000,9395.0,9395.00,1,-850.00,-0.90%,初始止损 (前前绿柱堆间 K 线低点:9395.00)
GFEX.si2605,2025-10-20 14:30:00.000000,8955.0,2025-10-20 14:35:00.000000,8945.0,8945.00,1,-100.00,-0.11%,初始止损 (前前绿柱堆间 K 线低点:8945.00)
GFEX.si2605,2025-10-23 09:00:00.000000,8890.0,2025-10-28 13:30:00.000000,8995.0,8830.00,7,1050.00,1.18%,初始止损 (前前绿柱堆间 K 线低点:8830.00)
GFEX.si2605,2025-11-19 11:15:00.000000,9115.0,2025-11-21 09:00:00.000000,9120.0,8875.00,4,50.00,0.05%,移动止损 (前前绿柱堆间 K 线低点:9120.00)
GFEX.si2605,2026-01-19 14:00:00.000000,8795.0,2026-01-20 10:55:00.000000,8775.0,8605.00,3,-200.00,-0.23%,移动止损 (前前绿柱堆间 K 线低点:8775.00)
